Path	URL	Permissions
ORDER ONLINE / Consumer Apps	consumer-app	view,create,update,delete
APPOINTMENT		view,create,update,delete
APPOINTMENT / Menu Favorit		
APPOINTMENT / Appointment		view,create,update,delete
APPOINTMENT / Appointment / Daftar Appointment	appointment	view,create,update,delete
APPOINTMENT / Appointment / Kalender Appoinment	appointment-calendar	view
KARYAWAN		view,create,update,delete
KARYAWAN / Menu Favorit		
KARYAWAN / Pengaturan Karyawan		view,create,update,delete
KARYAWAN / Pengaturan Karyawan / Daftar Karyawan	employee/employee-list	view,create,update,delete
KARYAWAN / Payroll		view,create,update,delete
KARYAWAN / Payroll / Pengaturan Payroll	payroll-menu/setting	view,create,update,delete
KARYAWAN / Payroll / Struktur Gaji	gaji/struktur-gaji	view,create,update,delete
KARYAWAN / Payroll / Daftar Pemetaan Akun Gaji	gaji/list-mapping-payroll-account	view,create,update,delete
KARYAWAN / Payroll / Pembayaran Payroll	gaji/pembayaran-payroll	view,create,update,delete
KARYAWAN / Payroll / Laporan Pembayaran	gaji/laporan-pembayaran	view
KARYAWAN / Payroll / Rekonsiliasi Pembayaran	gaji/rekonsiliasi-pembayaran	view,create,update,delete
KARYAWAN / Hak Akses		view,create,update,delete
KARYAWAN / Hak Akses / Daftar Hak Akses	employee/privilege-list	view,create,update,delete
KARYAWAN / Hak Akses / Pengaturan Hak Akses	karyawan/hak-akses	view,create,update,delete
KARYAWAN / Absensi		view,create,update,delete
KARYAWAN / Absensi / Akses Absensi	employee/attendance-access	view,create,update,delete
KARYAWAN / Absensi / Radius Absensi	employee/attendance-radius	view,create,update,delete
KARYAWAN / majoo Teams		view,create,update,delete
KARYAWAN / majoo Teams / Akses majoo Teams	majoo-teams/access	view,create
KARYAWAN / majoo Teams / Kirim Notifikasi	majoo-teams/send-notification	view,create
KARYAWAN / Jadwal Kerja		view,create,update,delete
KARYAWAN / Jadwal Kerja / Daftar Shift	work-schedule/master-shift-list	view,create,update
KARYAWAN / Jadwal Kerja / Daftar Jadwal Kerja	work-schedule/master-schedule-list	view,create,update
KARYAWAN / Jadwal Kerja / Jadwal Kerja Karyawan	work-schedule/employee-schedule	view,create,update
KARYAWAN / Pengaturan Master		view,create,update,delete
KARYAWAN / Pengaturan Master / Tingkat Jabatan	master-setting/position-level	view,create,update,delete
KARYAWAN / Pengaturan Master / Organisasi	master-setting/organization	view,create,update,delete
KARYAWAN / Pengaturan Master / Tipe Karyawan	master-setting/employee-type	view,create,update,delete
KARYAWAN / Alur Kerja Persetujuan		view,create,update,delete
KARYAWAN / Alur Kerja Persetujuan / Persetujuan Pembelian	approval-workflow/purchase	view,create,update,delete
KARYAWAN / Alur Kerja Persetujuan / Persetujuan Keuangan	approval-workflow/finance	view,create,update,delete
KEUANGAN		view,create,update,delete
KEUANGAN / Menu Favorit		
KEUANGAN / Dashboard Keuangan	sales-dashboard-keuangan	view
KEUANGAN / Buku Kas		view,create,update,delete
KEUANGAN / Buku Kas / Daftar Buku Kas & Bank	buku-kas/daftar-buku-kas	view,create,update,delete
KEUANGAN / Buku Kas / Daftar Transfer	buku-kas/daftar-transfer	view,create,update,delete
KEUANGAN / Penerimaan		view,create,update,delete
KEUANGAN / Penerimaan / Daftar Penerimaan	income/daftar-penerimaan	view,create,update,delete
KEUANGAN / Penerimaan / Rekonsiliasi Penerimaan Penjualan	income/reconciliation	view,create,update,delete
KEUANGAN / Pengeluaran		view,create,update,delete
KEUANGAN / Pengeluaran / Daftar Pengeluaran	pengeluaran/daftar-pengeluaran	view,create,update,delete
KEUANGAN / Pengeluaran / Daftar Biaya	pengeluaran/daftar-biaya	view,create,update,delete
KEUANGAN / Pengeluaran / Daftar Tagihan Rutin 	pengeluaran/daftar-tagihan-rutin	view,create,update,delete
KEUANGAN / Pengeluaran / Daftar Mitra	pengeluaran/mitra	view,create,update,delete
KEUANGAN / Pengeluaran / Rekonsiliasi Refund Penjualan	pengeluaran/sales-refund-reconcile	view,create
KEUANGAN / Manajemen Aset		view,create,update,delete
